file,section,pattern_matched,match_text,context
1021860_10K_2014_0000950123-15-003051.json,item_1,(?i)(?:key|primary|major)\s+(?:supplier|vendor),primary supplier,"rs a broad line of premium drilling products designed for the drilling of extended reach, directional, horizontal, deepwater, and ultra-deep wells in both international and domestic markets. Voest-Alpine Tubulars (“VAT”). VAT is a joint venture between the Company and the Austrian based Voest-Alpine Group. The Company has a 50.01% investment in the joint venture which is located in Kindberg, Austria. VAT owns a tubular mill with an annual capacity of approximately 380,000 metric tons and is the primary supplier of green tubes for our U.S. based production. VAT is accounted for under the equity-method of accounting due to the minority owner having substantive participating rights. Tubular Coating. The Company develops, manufactures and applies its proprietary tubular coatings, known as Tube-Kote® coatings, to new and used downhole tubulars and line pipe. Tubular coatings help prevent corrosion, which extends the life of tubular assets, and reduces expensive interruptions in production. In addition, coa"
1021860_10K_2015_0001193125-16-469696.json,item_1,(?i)(?:key|primary|major)\s+(?:supplier|vendor),primary supplier,"rs a broad line of premium drilling products designed for the drilling of extended reach, directional, horizontal, deepwater, and ultra-deep wells in both international and domestic markets. Voest-Alpine Tubulars (“VAT”). VAT is a joint venture between the Company and the Austrian based Voest-Alpine Group. The Company has a 50.01% investment in the joint venture which is located in Kindberg, Austria. VAT owns a tubular mill with an annual capacity of approximately 380,000 metric tons and is the primary supplier of green tubes for our U.S. based production. VAT is accounted for under the equity-method of accounting due to the minority owner having substantive participating rights. Tubular Coating. The Company develops, manufactures and applies its proprietary tubular coatings, known as Tube-Kote® coatings, to new and used downhole tubulars and line pipe. Tubular coatings help prevent corrosion, which extends the life of tubular assets, and reduces expensive interruptions in production. In addition, coa"
1021860_10K_2016_0001193125-17-047937.json,item_1,(?i)(?:key|primary|major)\s+(?:supplier|vendor),primary supplier,"rs a broad line of premium drilling products designed for the drilling of extended reach, directional, horizontal, deepwater, and ultra-deep wells in both international and domestic markets. Voest-Alpine Tubulars (“VAT”). VAT is a joint venture between the Company and the Austrian based Voest-Alpine Group. The Company has a 50.11% investment in the joint venture which is located in Kindberg, Austria. VAT owns a tubular mill with an annual capacity of approximately 380,000 metric tons and is the primary supplier of green tubes, or raw material, for our U.S. based drill pipe production. VAT is accounted for under the equity-method of accounting due to the minority owner having substantive participating rights. Tubular Coating. The Company develops, manufactures and applies its proprietary tubular coatings, known as Tube-Kote® coatings, to new and used drill pipe products and line pipe. Tubular coatings help prevent corrosion, extending the life of tubular assets; reduce expensive interruptions in produc"
1021860_10K_2017_0001193125-18-048333.json,item_1,(?i)customer\s+concentration,customer concentration,"lower costs. Capitalize on and drive end-market fragmentation A key tenet of NOV’s business model is to make its technologies and products available to all industry participants. To the extent NOV can provide equipment and technology that is as good, if not better than, products developed by service providers, it will prevent any one organization from having a proprietary advantage and therefore drive fragmentation. This fragmentation expands NOV’s customer base and permits the Company to avoid customer concentration in most of its businesses. NOV has resisted the recent trend toward vertical integration, which has left the Company in an attractive and unique position in the marketplace as the only large-cap independent provider of technology and equipment to the oilfield service space. In the international markets, many countries are pursuing initiatives that drive local content and greater local employment in oilfield activity. These actions will likely prompt more local startup enterprises, further expan"
1021860_10K_2018_0001564590-19-002967.json,item_1,(?i)customer\s+concentration,customer concentration,"lower costs. Capitalize on and drive end-market fragmentation A key tenet of NOV’s business model is to make its technologies and products available to all industry participants. To the extent NOV can provide equipment and technology that is as good, if not better than, products developed by service providers, it will prevent any one organization from having a proprietary advantage and therefore drive fragmentation. This fragmentation expands NOV’s customer base and permits the Company to avoid customer concentration in most of its businesses. NOV has resisted the recent trend toward vertical integration, which has left the Company in an attractive and unique position in the marketplace as the only large-cap independent provider of technology and equipment to the oilfield service space. In the international markets, many countries are pursuing initiatives that drive local content and greater local employment in oilfield activity. These actions will likely prompt more local startup enterprises, further expan"
1021860_10K_2019_0001564590-20-004552.json,item_1,(?i)customer\s+concentration,customer concentration,"lower costs. Capitalize on and drive end-market fragmentation A key tenet of NOV’s business model is to make its technologies and products available to all industry participants. To the extent NOV can provide equipment and technology that is as good, if not better than, products developed by service providers, it will prevent any one organization from having a proprietary advantage and therefore drive fragmentation. This fragmentation expands NOV’s customer base and permits the Company to avoid customer concentration in most of its businesses. NOV has resisted the recent trend toward vertical integration, which has left the Company in an attractive and unique position in the marketplace as the only large-cap independent provider of technology and equipment to the oilfield service space. In the international markets, many countries are pursuing initiatives that drive local content and greater local employment in oilfield activity. These actions will likely prompt more local startup enterprises, further expan"
1021860_10K_2020_0001564590-21-005708.json,item_1,(?i)customer\s+concentration,customer concentration,"ilities to develop value-added technologies. Capitalize on and drive end-market fragmentation Technology and product availability to all industry participants is a key tenet of NOV’s business model. To the extent NOV can provide equipment and technology products that are equal to or better than those developed by service providers, it will prevent any one organization from having a proprietary advantage and therefore drive fragmentation. This fragmentation expands NOV’s customer base and avoids customer concentration in most of its businesses. NOV has resisted the recent trend toward vertical integration, leaving the Company in an attractive and unique position as the largest global independent technology and equipment provider to the oilfield service sector. Governments in certain international markets are pursuing initiatives that drive local content and greater local employment. These actions will likely prompt more local startup enterprises, further expanding demand for NOV’s equipment. Leverage core ca"
1021860_10K_2021_0001564590-22-004755.json,item_1,(?i)customer\s+concentration,customer concentration,"ilities to develop value-added technologies. Capitalize on and drive end-market fragmentation Technology and product availability to all industry participants is a key tenet of NOV’s business model. To the extent NOV can provide equipment and technology products that are equal to or better than those developed by service providers, it will prevent any one organization from having a proprietary advantage and therefore drive fragmentation. This fragmentation expands NOV’s customer base and avoids customer concentration in most of its businesses. NOV has resisted the recent trend toward vertical integration, leaving the Company in an attractive and unique position as the largest global independent technology and equipment provider to the oilfield service sector. Governments in certain international markets are pursuing initiatives that drive local content and greater local employment. The Company expects that these actions will likely prompt more local startup enterprises, further expanding demand for NOV’s eq"
1021860_10K_2022_0000950170-23-002767.json,item_1,(?i)customer\s+concentration,customer concentration,"ilities to develop value-added technologies. Capitalize on and drive end-market fragmentation Technology and product availability to all industry participants is a key tenet of NOV’s business model. To the extent NOV can provide equipment and technology products that are equal to or better than those developed by service providers, it will prevent any one organization from having a proprietary advantage and therefore drive fragmentation. This fragmentation expands NOV’s customer base and avoids customer concentration in most of its businesses. NOV has resisted the recent trend toward vertical integration, leaving the Company in an attractive and unique position as the largest global independent technology and equipment provider to the oilfield service sector. Governments in certain international markets are pursuing initiatives that drive local content and greater local employment. The Company expects that these actions will likely prompt more local startup enterprises, further expanding demand for NOV’s eq"
1021860_10K_2023_0000950170-24-015145.json,item_1,(?i)customer\s+concentration,customer concentration,"ilities to develop value-added technologies. Capitalize on and drive end-market fragmentation Technology and product availability to all industry participants is a key tenet of NOV’s business model. To the extent NOV can provide equipment and technology products that are equal to or better than those developed by service providers, it will prevent any one organization from having a proprietary advantage and therefore drive fragmentation. This fragmentation expands NOV’s customer base and avoids customer concentration in most of its businesses. NOV has resisted the recent trend toward vertical integration, leaving the Company in an attractive and unique position as the largest global independent technology and equipment provider to the oilfield service sector. Governments in certain international markets are pursuing initiatives that drive local content and greater local employment. The Company expects that these actions will likely prompt more local startup enterprises, further expanding demand for NOV’s eq"
